CODMES,CODSOLICITUD,prediction_corpus
201307,7814,0.08156037
201307,4394,0.5026079
201307,2957,0.5464176
201307,4907,0.4565877
201307,11677,0.3171813
201307,2685,0.6227117
201307,5696,0.4463117
201307,10254,0.18664025
201307,1639,0.7061222
201307,7446,0.5972071
201307,9590,0.64739347
201307,7999,0.105999015
201307,3242,0.57374156
201307,14373,0.15320265
201307,3455,0.14079918
201307,2006,0.41355357
201307,12816,0.4559278
201307,141,0.16716553
201307,10393,0.69131154
201307,1755,0.46483564
201307,776,0.5705809
201307,3098,0.8055112
201307,310,0.6374548
201307,429,0.34921855
201307,8100,0.7634668
201307,10197,0.3080132
201307,12445,0.053949647
201307,3046,0.6902144
201307,6206,0.05096975
201307,8454,0.3522598
201307,13076,0.19609469
201307,2057,0.70513445
201307,257,0.6938714
201307,978,0.17250289
201307,6825,0.5563523
201307,6219,0.33616993
201307,10950,0.39005902
201307,2259,0.33562058
201307,2807,0.07610421
201307,10491,0.4337074
201307,8176,0.6677035
201307,11038,0.22087955
201307,12931,0.3357318
201307,5269,0.15348764
201307,6864,0.57642806
201307,289,0.3588422
201307,9215,0.6684553
201307,3157,0.19720507
201307,7956,0.49171957
201307,1099,0.3348994
201307,9490,0.41460964
201307,12291,0.5582855
201307,9618,0.49913034
201307,12874,0.0742742
201307,636,0.3326618
201307,8741,0.11334241
201307,7902,0.76972115
201307,10549,0.25795063
201307,10576,0.2993145
201307,3372,0.7631799
201307,2915,0.033554025
201307,130,0.5610404
201307,11051,0.38022393
201307,4662,0.6686033
201307,2780,0.6835517
201307,11448,0.11395323
201307,2641,0.062445585
201307,5296,0.46636334
201307,8146,0.3812751
201307,8513,0.39061815
201307,3754,0.36070403
201307,8816,0.64948386
201307,10942,0.29795116
201307,7757,0.49879164
201307,7873,0.7601683
201307,3357,0.33417964
201307,2091,0.6736219
201307,12994,0.17928983
201307,5497,0.60959053
201307,8909,0.17835489
201307,3979,0.35323977
201307,4535,0.13076696
201307,8472,0.44216046
201307,5903,0.4376301
201307,9346,0.09607645
201307,1134,0.1582908
201307,9011,0.5811774
201307,8623,0.15565942
201307,13469,0.5126162
201307,4132,0.2554043
201307,6682,0.55349696
201307,13296,0.60001284
201307,4541,0.7754518
201307,11097,0.37708116
201307,13162,0.27565244
201307,10803,0.57059026
201307,6461,0.1483617
201307,3688,0.09717106
201307,11924,0.4061796
201307,14179,0.70814514
201307,1528,0.17299587
201307,10084,0.6383797
201307,7683,0.08864275
201307,7564,0.3794354
201307,8779,0.07613449
201307,14160,0.5364984
201307,12088,0.7021543
201307,3188,0.316068
