CODMES,CODSOLICITUD,prediction_peak
201307,12302,0.18725896
201307,11725,0.20001717
201307,7723,0.19600473
201307,8128,0.19830166
201307,10014,0.2026966
201307,7702,0.18378907
201307,1807,0.22221176
201307,5462,0.18295516
201307,9142,0.20153616
201307,5582,0.18295516
201307,7311,0.189631
201307,3050,0.21906123
201307,6706,0.18424475
201307,9624,0.18295516
201307,9488,0.18295516
201307,11989,0.20805682
201307,7142,0.18868646
201307,11520,0.19085103
201307,6873,0.18295516
201307,1715,0.18625796
201307,11349,0.19278765
201307,12335,0.18590462
201307,2310,0.21037671
201307,12659,0.18295516
201307,3478,0.18716244
201307,9670,0.19578907
201307,9947,0.22918928
201307,12644,0.19525109
201307,7725,0.19920306
201307,11255,0.18295516
201307,10975,0.19117634
201307,6548,0.18378907
201307,5370,0.19217288
201307,9521,0.18568255
201307,10470,0.1910904
201307,13150,0.19525364
201307,12157,0.18729375
201307,5039,0.21835744
201307,1070,0.20014231
201307,3291,0.20882727
201307,9640,0.19060533
201307,1577,0.19439596
201307,1894,0.18295516
201307,5329,0.18295516
201307,12075,0.18295516
201307,2514,0.18295516
201307,3952,0.1843401
201307,6307,0.21121053
201307,1140,0.21651857
201307,12354,0.22331737
201307,11152,0.18295516
201307,12166,0.19111778
201307,3637,0.20089133
201307,9811,0.21319726
201307,1188,0.1861465
201307,6632,0.22292113
201307,9875,0.18295516
201307,9878,0.18430726
201307,355,0.19355112
201307,12134,0.18295516
201307,11048,0.18883222
201307,1957,0.18295516
201307,1935,0.18415079
201307,9817,0.1921085
201307,577,0.21286997
201307,4424,0.18295516
201307,3509,0.19183062
201307,8958,0.20161678
201307,2978,0.19638664
201307,12478,0.1907395
201307,5952,0.18454346
201307,1223,0.1845957
201307,1706,0.18295516
201307,4173,0.19951652
201307,9963,0.19665127
201307,788,0.22210747
201307,2072,0.18295516
201307,5590,0.18295516
201307,7347,0.19938557
201307,5115,0.18295516
201307,5706,0.19116499
201307,2189,0.18286034
201307,7090,0.21849294
201307,1598,0.18570012
201307,590,0.2021361
201307,8390,0.18597247
201307,4405,0.21570551
201307,11611,0.18295516
201307,9825,0.18810548
201307,9466,0.20833929
201307,2593,0.18428978
201307,13206,0.18295516
201307,1224,0.22247204
201307,4382,0.2021054
201307,11836,0.18295516
201307,11375,0.20466705
201307,6566,0.20085247
201307,13310,0.18420586
201307,9580,0.19467205
201307,13417,0.19004151
201307,9223,0.2148168
201307,3571,0.18911771
201307,2123,0.19485705
201307,7654,0.18955776
201307,11088,0.1843401
201307,3144,0.18753067
201307,2191,0.18480717
201307,3632,0.18898591
201307,7441,0.193888
201307,8548,0.18787248
201307,9341,0.18755007
201307,12765,0.18552226
201307,6673,0.1992222
201307,2504,0.18454346
201307,6544,0.18897
201307,11805,0.18861929
201307,12123,0.19552858
201307,10598,0.18597247
201307,3277,0.22765476
201307,7913,0.18802564
201307,6611,0.18454346
201307,5664,0.18295516
201307,8382,0.18295516
201307,12329,0.21260428
201307,2019,0.18816939
201307,10319,0.20924674
201307,10634,0.18295516
201307,12310,0.21524507
201307,3040,0.19365436
201307,931,0.18686745
201307,1437,0.21896361
201307,5486,0.19053812
201307,4106,0.18725896
201307,12827,0.18295516
201307,7708,0.18428978
201307,3882,0.18405549
201307,6381,0.19513448
201307,8503,0.19723526
201307,2304,0.18787248
201307,2339,0.21530862
201307,2722,0.18896411
201307,9852,0.18295516
201307,6005,0.19481024
201307,6819,0.18295516
201307,420,0.20622241
201307,430,0.18880698
201307,7805,0.2037449
201307,6726,0.18575412
201307,9019,0.1843401
201307,8026,0.1902497
201307,3640,0.19294919
201307,1727,0.18725896
201307,3787,0.2044386
201307,4053,0.18724139
201307,4217,0.18295516
201307,11588,0.18295516
201307,12743,0.21003096
201307,1374,0.18430726
201307,5703,0.18295516
201307,1456,0.18820849
201307,568,0.1843401
201307,10112,0.19183062
201307,4799,0.20705217
201307,9839,0.1843401
201307,9523,0.18977317
201307,738,0.21659316
201307,2196,0.21064503
201307,9115,0.18295516
201307,162,0.18846852
201307,8942,0.19897948
201307,14331,0.20294975
201307,7098,0.19617248
201307,2456,0.19523026
201307,11752,0.18867166
201307,7394,0.20601416
201307,13440,0.20609793
201307,3490,0.20017506
201307,9209,0.20118542
201307,2675,0.21001245
201307,11612,0.18620674
201307,2669,0.2029283
201307,3898,0.1926806
201307,4891,0.18295516
201307,973,0.19909993
201307,7450,0.19095965
201307,8409,0.21535082
201307,4585,0.18739618
201307,13851,0.18904334
201307,13117,0.20913921
201307,2348,0.1948232
201307,1638,0.2194505
201307,4952,0.18620674
201307,9945,0.21279934
201307,627,0.19014192
201307,7297,0.18693493
201307,3816,0.22697163
201307,6287,0.18956749
201307,8697,0.18575698
201307,3944,0.1916029
201307,445,0.19099882
201307,11869,0.18295516
201307,1119,0.18295516
201307,8831,0.20460586
201307,3182,0.18295516
201307,9449,0.20744829
201307,14333,0.19706924
201307,274,0.21197596
201307,4968,0.20088083
201307,13830,0.18575412
201307,4372,0.18295516
201307,11115,0.18575412
201307,3228,0.19307782
201307,11458,0.23596305
201307,305,0.18530378
201307,6423,0.23107597
201307,10386,0.18295516
201307,11737,0.18295516
201307,6708,0.18799233
201307,3731,0.1843401
201307,4930,0.1965451
201307,11491,0.19907907
201307,5714,0.18568255
201307,6993,0.1861465
201307,655,0.20200616
201307,10958,0.1932632
201307,7186,0.19211328
201307,8726,0.18295516
201307,5287,0.21339086
201307,7464,0.1951592
201307,4374,0.20914324
201307,11543,0.186585
201307,7650,0.18295516
201307,8833,0.18303405
201307,11526,0.18844712
201307,9395,0.18575412
201307,11547,0.19640276
201307,1425,0.18429598
201307,1526,0.18844712
201307,8934,0.19393256
201307,10048,0.18597247
201307,4995,0.18575412
201307,12232,0.19828641
201307,9703,0.18576206
201307,2530,0.18979497
201307,9800,0.21259385
201307,526,0.18730679
201307,7555,0.1947743
201307,5282,0.19467205
201307,5575,0.22744255
201307,12544,0.19510858
201307,456,0.18295516
201307,950,0.19913693
201307,2899,0.1843401
201307,12652,0.18799233
201307,7039,0.22848402
201307,14122,0.18378907
201307,4697,0.21111746
201307,6562,0.18424475
201307,7766,0.19380471
201307,10083,0.1878901
201307,6878,0.19259019
201307,12454,0.2202687
201307,8776,0.21308514
201307,5100,0.18552978
201307,9786,0.21099499
201307,8429,0.18750536
201307,3307,0.19938564
201307,13414,0.1843401
