CODMES,CODSOLICITUD,prediction_single
201307,10735,0.12074707
201307,1257,0.13820563
201307,2957,0.27400395
201307,4958,0.23948151
201307,1108,0.25915086
201307,3242,0.24157202
201307,12743,0.102571554
201307,10462,0.11960502
201307,1359,0.22244246
201307,3365,0.2758908
201307,3943,0.13785648
201307,9223,0.3139381
201307,11523,0.15976824
201307,12515,0.06456474
201307,2736,0.21559766
201307,1715,0.07844636
201307,10730,0.23004267
201307,7650,0.038589213
201307,1314,0.21300057
201307,11407,0.14144677
201307,13401,0.2987687
201307,5350,0.035834216
201307,10262,0.17633116
201307,6861,0.19255874
201307,1401,0.22624604
201307,8608,0.3635093
201307,7441,0.09593701
201307,2915,0.045623377
201307,950,0.13991092
201307,6993,0.08218356
201307,9875,0.037875123
201307,13355,0.37716946
201307,1224,0.4232288
201307,8958,0.20701244
201307,4142,0.113657914
201307,2274,0.13154352
201307,3509,0.10718901
201307,10391,0.16444726
201307,7491,0.18457687
201307,4092,0.099044606
201307,9773,0.31109232
201307,3969,0.20394193
201307,5918,0.10594953
201307,2593,0.056498487
201307,3478,0.05428831
201307,13703,0.10315163
201307,3806,0.13396825
201307,3816,0.50120294
201307,7814,0.088038936
201307,9177,0.25916305
201307,3308,0.045514103
201307,9740,0.3043629
201307,11172,0.10204857
201307,4968,0.22790563
201307,12551,0.24632195
201307,10101,0.2572688
201307,6882,0.24151699
201307,3819,0.062384818
201307,12291,0.3051222
201307,4372,0.03185658
201307,8337,0.28089514
201307,388,0.46709502
201307,10549,0.11810616
201307,12626,0.38715813
201307,2310,0.32639456
201307,3050,0.31046224
201307,7564,0.14196107
201307,1954,0.37852228
201307,9386,0.40102658
201307,9786,0.255497
201307,4394,0.33135605
201307,5814,0.3111309
201307,11213,0.09052967
201307,7524,0.33609086
201307,12544,0.12547553
201307,1099,0.21198471
201307,1140,0.10886823
201307,1481,0.20781836
201307,8130,0.14119965
201307,12816,0.24088727
201307,9403,0.35190952
201307,1598,0.07107679
201307,3040,0.045602337
201307,9215,0.2118112
201307,9852,0.066019975
201307,7355,0.21997115
201307,1223,0.06867505
201307,7632,0.49571076
201307,3891,0.25232497
201307,10810,0.2031015
201307,2660,0.16464965
201307,10954,0.18610883
201307,7231,0.2293122
201307,3188,0.20345458
201307,2710,0.13965783
201307,4917,0.16222341
201307,9145,0.15068819
201307,7142,0.085286826
201307,2148,0.045568965
201307,2835,0.1717597
201307,14225,0.18274437
201307,3533,0.11107711
201307,12994,0.084464066
201307,10471,0.37229007
201307,4604,0.06629033
201307,5129,0.044675417
201307,11038,0.112777874
201307,6674,0.30158854
201307,6233,0.17186457
201307,8095,0.19812419
201307,9733,0.075159684
201307,3730,0.108604014
201307,2190,0.035737142
201307,6601,0.13021307
201307,2451,0.053765222
201307,13296,0.36303884
201307,5252,0.14348653
201307,4516,0.36320272
201307,11159,0.3706838
201307,6959,0.047197964
201307,12137,0.032393776
201307,7670,0.49210945
201307,11520,0.24465068
201307,5575,0.37738165
201307,9240,0.063985735
201307,4106,0.0562725
201307,11245,0.10387568
201307,2731,0.28371167
201307,8623,0.1414001
201307,6622,0.3305845
201307,420,0.30392346
201307,10034,0.111695744
201307,4799,0.17616236
201307,11940,0.15839235
201307,6852,0.047363937
201307,7936,0.16909541
201307,14347,0.105111614
201307,5380,0.048715483
201307,11760,0.2158864
201307,12473,0.24850753
201307,7615,0.046936326
201307,6737,0.2618849
201307,11160,0.44902694
201307,12644,0.13583142
201307,8831,0.07503925
201307,9449,0.18422478
201307,11851,0.2504213
201307,9930,0.059446145
201307,3162,0.13480827
201307,12783,0.11351079
201307,9466,0.19845782
201307,541,0.15412231
201307,5582,0.035776813
201307,7468,0.08167411
201307,5668,0.41445658
201307,10716,0.39591354
201307,1609,0.16744334
201307,2722,0.07057267
201307,2794,0.05786909
201307,7761,0.3102753
201307,11449,0.3046811
201307,14352,0.1714487
201307,257,0.42749763
201307,11653,0.18222325
201307,63,0.1853
201307,12117,0.42454842
201307,11058,0.24779394
201307,4366,0.088564456
201307,1994,0.4200278
201307,10641,0.1511116
201307,11588,0.06181309
201307,289,0.13393544
201307,7098,0.119666375
201307,4157,0.07923916
201307,14004,0.29427725
201307,2685,0.36291334
201307,5448,0.14188543
201307,9194,0.31614766
201307,10411,0.05622993
201307,980,0.15959416
201307,3409,0.33713838
201307,6853,0.44048607
201307,9493,0.10187127
201307,2883,0.1211444
201307,4053,0.08780541
201307,8987,0.2737092
201307,526,0.07638221
201307,11761,0.42618003
201307,1379,0.08364083
201307,10568,0.10417558
201307,10576,0.22569725
201307,6297,0.24801853
201307,3277,0.19921008
201307,12659,0.055487767
201307,9549,0.23730397
201307,3688,0.09740972
201307,14404,0.1343596
201307,13922,0.33150074
201307,4970,0.15212823
201307,7723,0.25070205
201307,8128,0.24258655
201307,13599,0.09443535
201307,9580,0.1685133
201307,7071,0.15442044
201307,4469,0.38400853
201307,9814,0.17173938
201307,8462,0.38247204
201307,11214,0.13517514
201307,1899,0.07490008
201307,9272,0.29259044
201307,3357,0.20003907
201307,3602,0.14940849
201307,2943,0.09922876
201307,1510,0.38026026
201307,8187,0.06754387
201307,10908,0.39164096
201307,7708,0.047223233
201307,5442,0.11060158
201307,13005,0.18103035
201307,766,0.14724638
201307,2899,0.045449443
201307,8776,0.26564488
201307,12445,0.064763024
201307,5749,0.11515231
201307,5892,0.41241413
201307,10474,0.1191809
201307,3421,0.061883513
201307,4044,0.23944938
201307,1935,0.044003736
201307,9108,0.069619045
201307,532,0.20008053
201307,13830,0.047938928
201307,3370,0.21850842
201307,8176,0.3609097
201307,9590,0.36504236
201307,7515,0.17792101
201307,8093,0.0849482
201307,667,0.12743686
201307,3786,0.06725827
201307,7836,0.21961841
201307,9757,0.11263938
201307,11838,0.27768284
201307,8041,0.3721966
201307,9624,0.047339372
201307,9341,0.050769873
201307,13320,0.1664036
201307,776,0.32035935
201307,7283,0.19246753
201307,3709,0.07974171
201307,9991,0.07735345
201307,2181,0.07802745
201307,7883,0.035188418
201307,2458,0.062238112
201307,3046,0.38923922
201307,4735,0.14537571
201307,9389,0.07985822
201307,1526,0.06980979
201307,3267,0.1788525
201307,11516,0.113222785
201307,5279,0.18414553
201307,11836,0.037508715
201307,1493,0.15451065
201307,2259,0.14005093
201307,9142,0.21174644
201307,10126,0.31250787
201307,9186,0.26720807
201307,4088,0.55731684
201307,14122,0.044442568
201307,3898,0.10746379
201307,10433,0.1331739
201307,9187,0.04470967
201307,851,0.054671682
201307,11589,0.25666618
201307,11375,0.13892893
201307,9945,0.25784072
201307,7131,0.16739388
201307,9876,0.21971783
201307,4340,0.085513145
201307,13341,0.14523625
201307,7555,0.07224791
201307,1589,0.26121205
201307,3616,0.04161463
201307,1632,0.2037817
201307,3758,0.16413794
201307,6562,0.053722903
201307,5360,0.100057796
201307,9064,0.19858867
201307,7482,0.4231014
201307,10814,0.17945674
201307,3455,0.0820665
201307,6500,0.19868715
201307,12478,0.083533406
201307,1320,0.045186207
201307,10555,0.17863403
201307,4427,0.10366171
201307,8786,0.21092363
201307,7269,0.13137168
201307,5579,0.2303744
201307,1835,0.10304
201307,9678,0.41827554
201307,8098,0.2840155
201307,12017,0.30521226
201307,2576,0.5023779
201307,6885,0.10106776
201307,1433,0.07293699
201307,9115,0.049057063
201307,6398,0.17511034
201307,12384,0.22911716
201307,12782,0.23555315
201307,3861,0.10965805
201307,10112,0.07187908
201307,3175,0.14524813
201307,1340,0.0851575
201307,430,0.048353016
201307,4730,0.035748556
201307,9777,0.3668082
201307,769,0.48802012
201307,6410,0.12332265
201307,9963,0.07084332
201307,12161,0.19969575
201307,9521,0.045208037
201307,7395,0.21814854
201307,6722,0.33755225
201307,6824,0.27272463
201307,1067,0.18639572
201307,4695,0.1691415
201307,13464,0.18225479
201307,5604,0.12876807
201307,9953,0.08427555
201307,2970,0.15880269
201307,12183,0.105154775
201307,12302,0.056707088
201307,8779,0.073947035
201307,11349,0.07983246
201307,4752,0.11942779
201307,1811,0.07167642
201307,10844,0.13324259
201307,11106,0.07304974
201307,4564,0.109774254
201307,5296,0.30685425
201307,12488,0.4824838
201307,7546,0.1658448
201307,5043,0.12023523
201307,964,0.06362866
201307,6492,0.20057967
201307,141,0.1218015
201307,9629,0.1944951
201307,6532,0.3561346
201307,2191,0.07717424
201307,10294,0.1859859
201307,883,0.2603245
201307,11384,0.060111053
201307,13905,0.44732153
201307,7772,0.16280787
201307,11892,0.11632891
201307,4448,0.05122183
201307,11929,0.17375949
201307,5320,0.13184132
201307,568,0.06303621
201307,9081,0.3515717
201307,2686,0.18775599
201307,10958,0.09497739
201307,57,0.04616085
201307,6225,0.14346142
201307,4424,0.051409338
201307,2606,0.074531846
201307,8802,0.18855026
201307,7243,0.10931464
201307,8192,0.27197224
201307,130,0.36828744
201307,7848,0.27609363
201307,4141,0.17014818
201307,11534,0.09812926
201307,5590,0.031221185
201307,1378,0.24330403
201307,12762,0.26510715
201307,6706,0.05022164
201307,11097,0.27335212
201307,611,0.46094787
201307,9158,0.4004053
201307,789,0.28787836
201307,1727,0.06611671
201307,9689,0.30356112
201307,6739,0.18260494
201307,8286,0.22685854
201307,4219,0.11454725
201307,3731,0.04616733
201307,7417,0.11466692
201307,2320,0.36203706
201307,1500,0.103411116
201307,1458,0.04955555
201307,9074,0.25475496
201307,7239,0.30874202
201307,3228,0.13273999
201307,13269,0.20642194
201307,5716,0.059444163
201307,9380,0.0906689
201307,11805,0.047390502
201307,1437,0.15179852
201307,1909,0.05394538
201307,5189,0.25102583
201307,2464,0.11987833
201307,5287,0.37892824
201307,4197,0.14061242
201307,13310,0.035636213
201307,11612,0.10387231
201307,12997,0.080748506
201307,9616,0.11552125
201307,10950,0.17593989
201307,843,0.12277638
201307,738,0.18634878
201307,4987,0.39446926
201307,10598,0.084119916
201307,10404,0.23201494
201307,11088,0.05920535
201307,1638,0.12564835
201307,4200,0.24073905
201307,8992,0.19511484
201307,10054,0.25863838
201307,11004,0.196329
201307,11229,0.24998403
201307,6389,0.4737709
201307,11297,0.36805293
201307,12134,0.04644458
201307,9657,0.15491357
201307,4405,0.3556623
201307,7654,0.16316405
201307,7210,0.04906883
201307,11255,0.04691068
201307,8697,0.053850967
201307,9617,0.09094813
201307,492,0.15961675
201307,2910,0.20991184
201307,305,0.037823144
201307,13447,0.1005969
201307,4382,0.14334863
201307,11611,0.084929615
201307,4932,0.26842824
201307,3048,0.17517328
201307,11547,0.1098545
201307,12335,0.077864155
201307,590,0.2853891
201307,12454,0.31380302
201307,2535,0.27282497
201307,3502,0.29038024
201307,11329,0.14287756
201307,691,0.21803063
201307,1278,0.10043721
201307,10526,0.357076
201307,4585,0.04000347
201307,5522,0.1318032
201307,12287,0.10774843
201307,9159,0.07030796
201307,11674,0.14993107
201307,2224,0.15767272
201307,4930,0.07778779
201307,8327,0.116511464
201307,7696,0.26753432
201307,4475,0.2247109
201307,2479,0.037424263
201307,12511,0.061373454
201307,11999,0.4302586
201307,9898,0.19729385
201307,12138,0.33213937
201307,6423,0.23492292
201307,1117,0.19772276
201307,15,0.34268785
201307,12805,0.083973065
201307,5664,0.03746774
201307,12343,0.13936938
201307,8838,0.46934643
201307,7819,0.16408546
201307,5435,0.036069643
201307,5486,0.056759663
201307,5480,0.36244234
201307,5774,0.24839503
201307,336,0.25704178
201307,5457,0.06728967
201307,1789,0.19808345
201307,8833,0.04015537
201307,2019,0.07775331
201307,8942,0.18594033
201307,3234,0.0476942
201307,3291,0.19695394
201307,8429,0.05855131
201307,2567,0.15301767
201307,6415,0.07284755
201307,11989,0.3504172
201307,11995,0.10491098
201307,7766,0.1426573
201307,4967,0.45581183
201307,8068,0.27503875
201307,14160,0.30624282
201307,11685,0.07666157
201307,3144,0.061865795
201307,5074,0.044839364
201307,4774,0.32027692
201307,3263,0.08591943
201307,7972,0.16834626
201307,2675,0.2410765
201307,5788,0.37674382
201307,10150,0.26149744
201307,5553,0.10133397
201307,9618,0.27800924
201307,11651,0.08128518
201307,3767,0.15054172
201307,9200,0.11432217
201307,8336,0.10707964
201307,397,0.16638847
201307,1036,0.064228244
201307,2177,0.07304674
201307,7533,0.11075761
201307,8870,0.068729065
201307,9180,0.07528334
201307,416,0.11760813
201307,10319,0.20179234
201307,6259,0.08563027
201307,5226,0.16076568
201307,3787,0.27178934
201307,2006,0.18243323
201307,10899,0.05231868
201307,6206,0.044206083
201307,12874,0.07338563
201307,2514,0.038870767
201307,4460,0.06161466
201307,4973,0.22990036
201307,10017,0.30144954
201307,1725,0.123955734
201307,11266,0.15250549
201307,370,0.2518844
201307,13652,0.061598543
201307,2196,0.24569882
201307,7420,0.19275552
201307,1145,0.2820202
201307,9188,0.101302944
201307,5703,0.068769865
201307,9488,0.06450731
201307,973,0.315247
201307,10424,0.0683287
201307,12015,0.12137791
201307,12277,0.51180375
201307,7683,0.076979555
201307,515,0.11261087
201307,9193,0.18651786
201307,1980,0.18932761
201307,1383,0.12727343
201307,2072,0.054508522
201307,8013,0.12746134
201307,1470,0.204114
201307,7497,0.31399044
201307,5370,0.11143323
201307,4690,0.066159874
201307,7973,0.036740545
201307,10301,0.11289089
201307,7666,0.12527384
201307,9205,0.35724676
201307,10491,0.16076784
201307,4132,0.1538024
201307,5039,0.22250444
201307,8100,0.40776232
201307,8472,0.3028571
201307,7830,0.10417423
201307,445,0.070999265
201307,3578,0.40568793
201307,12883,0.11062555
201307,4173,0.12280288
201307,7194,0.30318144
201307,3190,0.3519678
201307,6310,0.1173685
201307,627,0.054160256
201307,3486,0.131847
201307,10048,0.10500326
201307,9006,0.12900908
201307,5282,0.14449148
201307,1138,0.35290867
201307,1425,0.06774429
201307,7956,0.24947456
201307,788,0.438679
201307,8926,0.08373367
201307,7547,0.5920311
201307,133,0.24788094
201307,10942,0.13129717
201307,7039,0.22211026
201307,12307,0.16847332
201307,9975,0.25606695
201307,3129,0.3732969
201307,3984,0.28030837
201307,9160,0.11988677
201307,6388,0.08268563
201307,10803,0.3396216
201307,4909,0.06311829
201307,3191,0.24574892
201307,1904,0.15674697
201307,7257,0.079351485
201307,1528,0.10293138
201307,4806,0.043538764
201307,8580,0.19061972
201307,4891,0.053121142
